Plot,SiteCode,SiteCode_Plot,AcceptedGenus,AcceptedSpecies,NameCheck,Genus_Species_combo,PercentCoverAlive,PercentCoverDead,AbundanceAlive_count,AbundanceDead_count,MeanCanopyDiameter_cm,Clonal,SeasonallyApparent,Name,reflectance
T074,capepoint,capepoint_T074,Searsia,laevigata,10129.0,Searsia laevigata,1.0,0.0,1.0,0.0,80.0,yes,1.0,T075; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T074,capepoint,capepoint_T074,Erica,coccinea,3738.0,Erica coccinea,0.875,0.25,6.0,1.0,35.0,no,1.0,T075; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T074,capepoint,capepoint_T074,Phylica,ericoides,,Phylica ericoides,0.8125,0.0,4.0,0.0,33.333333333333336,no,1.0,T075; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T074,capepoint,capepoint_T074,Searsia,glauca,10126.0,Searsia glauca,0.5,0.0,1.0,0.0,65.0,yes,1.0,T075; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T074,capepoint,capepoint_T074,Tetraria,cuspidata,10925.0,Tetraria cuspidata,0.5,0.0,1.0,0.0,50.0,yes,1.0,T075; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T074,capepoint,capepoint_T074,Agathosma,imbricata,210.0,Agathosma imbricata,0.375,0.0,3.0,0.0,40.0,yes,1.0,T075; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T074,capepoint,capepoint_T074,Amphithalea,ericifolia,510.0,Amphithalea ericifolia,0.375,0.0,1.0,0.0,55.0,no,1.0,T075; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T074,capepoint,capepoint_T074,Haemanthus,coccineus,5299.0,Haemanthus coccineus,0.375,0.0,20.0,0.0,12.0,yes,1.0,T075; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T074,capepoint,capepoint_T074,Robsonodendron,maritimum,9689.0,Robsonodendron maritimum,0.375,0.0,1.0,0.0,55.0,yes,1.0,T075; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T074,capepoint,capepoint_T074,Ficinia,stolonifera,4752.0,Ficinia stolonifera,0.25,0.0,3.0,0.0,20.0,yes,1.0,T075; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T074,capepoint,capepoint_T074,Diosma,hirsuta,3066.0,Diosma hirsuta,0.125,0.0,1.0,0.0,25.0,no,1.0,T075; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T075,capepoint,capepoint_T075,Protea,repens,9185.0,Protea repens,25.5,0.0,23.0,0.0,135.0,no,,T266; Elytropappus scaber; Asteraceae,"[[-0.00563601  0.00491874 -0.00099792 ...  0.18786383  0.19104241
   0.19124365]
 [ 0.22356604  0.18451786  0.19351004 ...  0.3096008   0.3095703
   0.31386945]
 [ 0.31638145  0.34743974  0.30171108 ...  0.1874981   0.20838736
   0.20053577]
 [ 0.20124196  0.19501734  0.2703304  ...  0.36273858  0.24958086
   0.28404042]
 [ 0.25193882  0.28066728  0.24849844 ...  0.18859673  0.28582475
   0.19477034]
 [ 0.2329788   0.1943574   0.22296952 ...  0.3314056   0.29503536
   0.3868818 ]]"
T075,capepoint,capepoint_T075,Metalasia,densa,7321.0,Metalasia densa,11.75,1.5,30.0,5.0,55.0,no,,T266; Elytropappus scaber; Asteraceae,"[[-0.00563601  0.00491874 -0.00099792 ...  0.18786383  0.19104241
   0.19124365]
 [ 0.22356604  0.18451786  0.19351004 ...  0.3096008   0.3095703
   0.31386945]
 [ 0.31638145  0.34743974  0.30171108 ...  0.1874981   0.20838736
   0.20053577]
 [ 0.20124196  0.19501734  0.2703304  ...  0.36273858  0.24958086
   0.28404042]
 [ 0.25193882  0.28066728  0.24849844 ...  0.18859673  0.28582475
   0.19477034]
 [ 0.2329788   0.1943574   0.22296952 ...  0.3314056   0.29503536
   0.3868818 ]]"
T075,capepoint,capepoint_T075,Leucospermum,conocarpodendron,6747.0,Leucospermum conocarpodendron,9.5,1.25,16.0,3.0,110.0,no,,T266; Elytropappus scaber; Asteraceae,"[[-0.00563601  0.00491874 -0.00099792 ...  0.18786383  0.19104241
   0.19124365]
 [ 0.22356604  0.18451786  0.19351004 ...  0.3096008   0.3095703
   0.31386945]
 [ 0.31638145  0.34743974  0.30171108 ...  0.1874981   0.20838736
   0.20053577]
 [ 0.20124196  0.19501734  0.2703304  ...  0.36273858  0.24958086
   0.28404042]
 [ 0.25193882  0.28066728  0.24849844 ...  0.18859673  0.28582475
   0.19477034]
 [ 0.2329788   0.1943574   0.22296952 ...  0.3314056   0.29503536
   0.3868818 ]]"
T075,capepoint,capepoint_T075,Thamnochortus,lucens,10983.0,Thamnochortus lucens,8.75,0.5,17.0,2.0,65.0,yes,,T266; Elytropappus scaber; Asteraceae,"[[-0.00563601  0.00491874 -0.00099792 ...  0.18786383  0.19104241
   0.19124365]
 [ 0.22356604  0.18451786  0.19351004 ...  0.3096008   0.3095703
   0.31386945]
 [ 0.31638145  0.34743974  0.30171108 ...  0.1874981   0.20838736
   0.20053577]
 [ 0.20124196  0.19501734  0.2703304  ...  0.36273858  0.24958086
   0.28404042]
 [ 0.25193882  0.28066728  0.24849844 ...  0.18859673  0.28582475
   0.19477034]
 [ 0.2329788   0.1943574   0.22296952 ...  0.3314056   0.29503536
   0.3868818 ]]"
T075,capepoint,capepoint_T075,Elytropappus,scaber,3531.0,Elytropappus scaber,8.25,4.0,27.0,14.0,50.0,no,,T266; Elytropappus scaber; Asteraceae,"[[-0.00563601  0.00491874 -0.00099792 ...  0.18786383  0.19104241
   0.19124365]
 [ 0.22356604  0.18451786  0.19351004 ...  0.3096008   0.3095703
   0.31386945]
 [ 0.31638145  0.34743974  0.30171108 ...  0.1874981   0.20838736
   0.20053577]
 [ 0.20124196  0.19501734  0.2703304  ...  0.36273858  0.24958086
   0.28404042]
 [ 0.25193882  0.28066728  0.24849844 ...  0.18859673  0.28582475
   0.19477034]
 [ 0.2329788   0.1943574   0.22296952 ...  0.3314056   0.29503536
   0.3868818 ]]"
T075,capepoint,capepoint_T075,Watsonia,borbonica,11563.0,Watsonia borbonica,4.0,0.0,11.0,0.0,105.0,yes,,T266; Elytropappus scaber; Asteraceae,"[[-0.00563601  0.00491874 -0.00099792 ...  0.18786383  0.19104241
   0.19124365]
 [ 0.22356604  0.18451786  0.19351004 ...  0.3096008   0.3095703
   0.31386945]
 [ 0.31638145  0.34743974  0.30171108 ...  0.1874981   0.20838736
   0.20053577]
 [ 0.20124196  0.19501734  0.2703304  ...  0.36273858  0.24958086
   0.28404042]
 [ 0.25193882  0.28066728  0.24849844 ...  0.18859673  0.28582475
   0.19477034]
 [ 0.2329788   0.1943574   0.22296952 ...  0.3314056   0.29503536
   0.3868818 ]]"
T075,capepoint,capepoint_T075,Leucadendron,salignum,6721.0,Leucadendron salignum,2.5,0.0,3.0,0.0,90.0,yes,,T266; Elytropappus scaber; Asteraceae,"[[-0.00563601  0.00491874 -0.00099792 ...  0.18786383  0.19104241
   0.19124365]
 [ 0.22356604  0.18451786  0.19351004 ...  0.3096008   0.3095703
   0.31386945]
 [ 0.31638145  0.34743974  0.30171108 ...  0.1874981   0.20838736
   0.20053577]
 [ 0.20124196  0.19501734  0.2703304  ...  0.36273858  0.24958086
   0.28404042]
 [ 0.25193882  0.28066728  0.24849844 ...  0.18859673  0.28582475
   0.19477034]
 [ 0.2329788   0.1943574   0.22296952 ...  0.3314056   0.29503536
   0.3868818 ]]"
T075,capepoint,capepoint_T075,Passerina,corymbosa,8513.0,Passerina corymbosa,1.25,0.0,7.0,0.0,30.0,no,,T266; Elytropappus scaber; Asteraceae,"[[-0.00563601  0.00491874 -0.00099792 ...  0.18786383  0.19104241
   0.19124365]
 [ 0.22356604  0.18451786  0.19351004 ...  0.3096008   0.3095703
   0.31386945]
 [ 0.31638145  0.34743974  0.30171108 ...  0.1874981   0.20838736
   0.20053577]
 [ 0.20124196  0.19501734  0.2703304  ...  0.36273858  0.24958086
   0.28404042]
 [ 0.25193882  0.28066728  0.24849844 ...  0.18859673  0.28582475
   0.19477034]
 [ 0.2329788   0.1943574   0.22296952 ...  0.3314056   0.29503536
   0.3868818 ]]"
T075,capepoint,capepoint_T075,Protea,nitida,9175.0,Protea nitida,1.0,0.0,2.0,0.0,150.0,yes,,T266; Elytropappus scaber; Asteraceae,"[[-0.00563601  0.00491874 -0.00099792 ...  0.18786383  0.19104241
   0.19124365]
 [ 0.22356604  0.18451786  0.19351004 ...  0.3096008   0.3095703
   0.31386945]
 [ 0.31638145  0.34743974  0.30171108 ...  0.1874981   0.20838736
   0.20053577]
 [ 0.20124196  0.19501734  0.2703304  ...  0.36273858  0.24958086
   0.28404042]
 [ 0.25193882  0.28066728  0.24849844 ...  0.18859673  0.28582475
   0.19477034]
 [ 0.2329788   0.1943574   0.22296952 ...  0.3314056   0.29503536
   0.3868818 ]]"
T075,capepoint,capepoint_T075,Mastersiella,digitata,7166.0,Mastersiella digitata,0.25,3.75,1.0,12.0,40.0,no,,T266; Elytropappus scaber; Asteraceae,"[[-0.00563601  0.00491874 -0.00099792 ...  0.18786383  0.19104241
   0.19124365]
 [ 0.22356604  0.18451786  0.19351004 ...  0.3096008   0.3095703
   0.31386945]
 [ 0.31638145  0.34743974  0.30171108 ...  0.1874981   0.20838736
   0.20053577]
 [ 0.20124196  0.19501734  0.2703304  ...  0.36273858  0.24958086
   0.28404042]
 [ 0.25193882  0.28066728  0.24849844 ...  0.18859673  0.28582475
   0.19477034]
 [ 0.2329788   0.1943574   0.22296952 ...  0.3314056   0.29503536
   0.3868818 ]]"
T076,capepoint,capepoint_T076,Thamnochortus,fraternus,10975.0,Thamnochortus fraternus,25.0,0.0,75.0,0.0,53.75,yes,1.0,T068; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T076,capepoint,capepoint_T076,Erica,coarctata,3737.0,Erica coarctata,13.25,0.0,51.0,0.0,47.5,no,1.0,T068; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T076,capepoint,capepoint_T076,Leucadendron,coniferum,6669.0,Leucadendron coniferum,10.0,0.0,1.0,0.0,300.0,no,1.0,T068; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T076,capepoint,capepoint_T076,Euclea,racemosa,4435.0,Euclea racemosa,9.0,0.0,43.0,0.0,47.5,yes,1.0,T068; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T076,capepoint,capepoint_T076,Amphithalea,ericifolia,510.0,Amphithalea ericifolia,5.75,0.5,42.0,4.0,37.5,no,1.0,T068; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T076,capepoint,capepoint_T076,Passerina,paleacea,8522.0,Passerina paleacea,2.75,0.0,15.0,0.0,41.66666666666666,no,1.0,T068; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T076,capepoint,capepoint_T076,Agathosma,imbricata,210.0,Agathosma imbricata,2.5,0.0,15.0,0.0,38.333333333333336,yes,1.0,T068; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T076,capepoint,capepoint_T076,Metalasia,muricata,7338.0,Metalasia muricata,2.25,0.0,4.0,0.0,58.333333333333336,no,1.0,T068; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T076,capepoint,capepoint_T076,Phylica,ericoides,,Phylica ericoides,2.25,0.0,19.0,0.0,37.5,no,1.0,T068; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T076,capepoint,capepoint_T076,Erica,coccinea,3738.0,Erica coccinea,2.0,0.0,13.0,0.0,45.0,no,1.0,T068; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T076,capepoint,capepoint_T076,Aspalathus,carnosa,1001.0,Aspalathus carnosa,1.5,0.0,1.0,0.0,85.0,yes,1.0,T068; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T076,capepoint,capepoint_T076,Oedera,capensis,7980.0,Oedera capensis,1.25,0.125,2.0,1.0,61.66666666666666,no,1.0,T068; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T076,capepoint,capepoint_T076,Diosma,hirsuta,3066.0,Diosma hirsuta,0.25,0.0,1.0,0.0,40.0,yes,1.0,T068; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T076,capepoint,capepoint_T076,Helichrysum,patulum,5470.0,Helichrysum patulum,0.25,0.0,2.0,0.0,30.0,no,1.0,T068; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T076,capepoint,capepoint_T076,Otholobium,bracteolatum,8172.0,Otholobium bracteolatum,0.125,0.0,1.0,0.0,25.0,yes,1.0,T068; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T076,capepoint,capepoint_T076,Phylica,imberbis,,Phylica imberbis,0.0625,0.0,1.0,0.0,25.0,yes,1.0,T068; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T077,capepoint,capepoint_T077,Restio,cincinnatus,9501.0,Restio cincinnatus,22.5,0.0,83.0,0.0,57.5,yes,1.0,T085; Agathosma serpyllacea; Proteaceae,"[[-0.02805173 -0.01401773 -0.02303416 ...  0.0161556   0.00948888
   0.01373368]
 [ 0.0140897   0.00876731  0.01007777 ...  0.00667319  0.01284224
   0.00621121]
 [ 0.01077241  0.01057616  0.00571337 ...  0.00153993 -0.00529875
   0.00871986]
 [-0.0032563  -0.00330041 -0.00385073 ...  0.00438526  0.00186402
   0.00028955]
 [ 0.00577833 -0.00014358  0.00078608 ...  0.00712478  0.0068076
   0.00194564]
 [ 0.00358737  0.00913811  0.00193861 ... -0.00354525  0.00526372
   0.01790041]]"
T077,capepoint,capepoint_T077,Leucadendron,laureolum,6693.0,Leucadendron laureolum,13.0,0.0,7.0,0.0,150.0,no,1.0,T085; Agathosma serpyllacea; Proteaceae,"[[-0.02805173 -0.01401773 -0.02303416 ...  0.0161556   0.00948888
   0.01373368]
 [ 0.0140897   0.00876731  0.01007777 ...  0.00667319  0.01284224
   0.00621121]
 [ 0.01077241  0.01057616  0.00571337 ...  0.00153993 -0.00529875
   0.00871986]
 [-0.0032563  -0.00330041 -0.00385073 ...  0.00438526  0.00186402
   0.00028955]
 [ 0.00577833 -0.00014358  0.00078608 ...  0.00712478  0.0068076
   0.00194564]
 [ 0.00358737  0.00913811  0.00193861 ... -0.00354525  0.00526372
   0.01790041]]"
T077,capepoint,capepoint_T077,Erica,labialis,3936.0,Erica labialis,9.25,0.375,39.0,3.0,55.0,no,1.0,T085; Agathosma serpyllacea; Proteaceae,"[[-0.02805173 -0.01401773 -0.02303416 ...  0.0161556   0.00948888
   0.01373368]
 [ 0.0140897   0.00876731  0.01007777 ...  0.00667319  0.01284224
   0.00621121]
 [ 0.01077241  0.01057616  0.00571337 ...  0.00153993 -0.00529875
   0.00871986]
 [-0.0032563  -0.00330041 -0.00385073 ...  0.00438526  0.00186402
   0.00028955]
 [ 0.00577833 -0.00014358  0.00078608 ...  0.00712478  0.0068076
   0.00194564]
 [ 0.00358737  0.00913811  0.00193861 ... -0.00354525  0.00526372
   0.01790041]]"
T077,capepoint,capepoint_T077,Staberoha,banksii,10636.0,Staberoha banksii,9.0,0.0,36.0,0.0,56.25,yes,1.0,T085; Agathosma serpyllacea; Proteaceae,"[[-0.02805173 -0.01401773 -0.02303416 ...  0.0161556   0.00948888
   0.01373368]
 [ 0.0140897   0.00876731  0.01007777 ...  0.00667319  0.01284224
   0.00621121]
 [ 0.01077241  0.01057616  0.00571337 ...  0.00153993 -0.00529875
   0.00871986]
 [-0.0032563  -0.00330041 -0.00385073 ...  0.00438526  0.00186402
   0.00028955]
 [ 0.00577833 -0.00014358  0.00078608 ...  0.00712478  0.0068076
   0.00194564]
 [ 0.00358737  0.00913811  0.00193861 ... -0.00354525  0.00526372
   0.01790041]]"
T077,capepoint,capepoint_T077,Agathosma,serpyllacea,261.0,Agathosma serpyllacea,5.5,1.5,72.0,8.0,32.5,no,1.0,T085; Agathosma serpyllacea; Proteaceae,"[[-0.02805173 -0.01401773 -0.02303416 ...  0.0161556   0.00948888
   0.01373368]
 [ 0.0140897   0.00876731  0.01007777 ...  0.00667319  0.01284224
   0.00621121]
 [ 0.01077241  0.01057616  0.00571337 ...  0.00153993 -0.00529875
   0.00871986]
 [-0.0032563  -0.00330041 -0.00385073 ...  0.00438526  0.00186402
   0.00028955]
 [ 0.00577833 -0.00014358  0.00078608 ...  0.00712478  0.0068076
   0.00194564]
 [ 0.00358737  0.00913811  0.00193861 ... -0.00354525  0.00526372
   0.01790041]]"
T077,capepoint,capepoint_T077,Metalasia,cephalotes,7317.0,Metalasia cephalotes,2.75,1.0,13.0,6.0,40.0,no,1.0,T085; Agathosma serpyllacea; Proteaceae,"[[-0.02805173 -0.01401773 -0.02303416 ...  0.0161556   0.00948888
   0.01373368]
 [ 0.0140897   0.00876731  0.01007777 ...  0.00667319  0.01284224
   0.00621121]
 [ 0.01077241  0.01057616  0.00571337 ...  0.00153993 -0.00529875
   0.00871986]
 [-0.0032563  -0.00330041 -0.00385073 ...  0.00438526  0.00186402
   0.00028955]
 [ 0.00577833 -0.00014358  0.00078608 ...  0.00712478  0.0068076
   0.00194564]
 [ 0.00358737  0.00913811  0.00193861 ... -0.00354525  0.00526372
   0.01790041]]"
T077,capepoint,capepoint_T077,Elegia,stipularis,3509.0,Elegia stipularis,2.6875,0.0,13.0,0.0,41.25,yes,1.0,T085; Agathosma serpyllacea; Proteaceae,"[[-0.02805173 -0.01401773 -0.02303416 ...  0.0161556   0.00948888
   0.01373368]
 [ 0.0140897   0.00876731  0.01007777 ...  0.00667319  0.01284224
   0.00621121]
 [ 0.01077241  0.01057616  0.00571337 ...  0.00153993 -0.00529875
   0.00871986]
 [-0.0032563  -0.00330041 -0.00385073 ...  0.00438526  0.00186402
   0.00028955]
 [ 0.00577833 -0.00014358  0.00078608 ...  0.00712478  0.0068076
   0.00194564]
 [ 0.00358737  0.00913811  0.00193861 ... -0.00354525  0.00526372
   0.01790041]]"
